Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/ATARI800/Atari XEGS Manuals/Ace of Aces.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FAce%20of%20Aces.pdf,510628,83bdbefb91ebfe2a2cfa966a3268a1e6,,,Ace of Aces.pdf
docs/ATARI800/Atari XEGS Manuals/Airball.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FAirball.pdf,396385,3691fb7b162f9517386aae99e1590ded,,,Airball.pdf
docs/ATARI800/Atari XEGS Manuals/Archon.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FArchon.pdf,815747,2061af7821d29b2ba8ab7ae15f0b2286,,,Archon.pdf
docs/ATARI800/Atari XEGS Manuals/Ballblazer.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FBallblazer.pdf,226272,bdd253aae996ca6c7d8da10f3ba62d64,,,Ballblazer.pdf
docs/ATARI800/Atari XEGS Manuals/Barnyard Blaster.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FBarnyard%20Blaster.pdf,456660,d3107682d75918edc3b18ce46b5d87ad,,,Barnyard Blaster.pdf
docs/ATARI800/Atari XEGS Manuals/Battlezone.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FBattlezone.pdf,404835,e4147a67df9e84ff52a4afb20e24a0d3,,,Battlezone.pdf
docs/ATARI800/Atari XEGS Manuals/Blue Max.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FBlue%20Max.pdf,168424,48e884eb266a183b89296ed0fde1c894,,,Blue Max.pdf
docs/ATARI800/Atari XEGS Manuals/Bug Hunt.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FBug%20Hunt.pdf,329964,7a527d6feabe29fd348279e01dbbd614,,,Bug Hunt.pdf
docs/ATARI800/Atari XEGS Manuals/Choplifter.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FChoplifter.pdf,112740,6f12403ae8140731ae80d7ee09000ef1,,,Choplifter.pdf
docs/ATARI800/Atari XEGS Manuals/Crime Buster.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FCrime%20Buster.pdf,146185,e8791e87f44359f1c21b9fd2d1b11e30,,,Crime Buster.pdf
docs/ATARI800/Atari XEGS Manuals/Crossbow.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FCrossbow.pdf,190838,beb6d9766398c770c7053d52bb328eb5,,,Crossbow.pdf
docs/ATARI800/Atari XEGS Manuals/Crystal Castles.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FCrystal%20Castles.pdf,497040,4edc2ed0b030d82affc37a27a99dd20a,,,Crystal Castles.pdf
docs/ATARI800/Atari XEGS Manuals/Dark Chambers.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FDark%20Chambers.pdf,438025,54bf79b67451ed5e5755a7459f5904d9,,,Dark Chambers.pdf
docs/ATARI800/Atari XEGS Manuals/David_s Midnight Magic.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FDavid_s%20Midnight%20Magic.pdf,116542,cbbbbdd97b5678b15f19ca2666bedbcf,,,David_s Midnight Magic.pdf
docs/ATARI800/Atari XEGS Manuals/Desert Falcon.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FDesert%20Falcon.pdf,273404,7c0bfd5b5c3cb34da6171a75c57f9648,,,Desert Falcon.pdf
docs/ATARI800/Atari XEGS Manuals/Eastern Front (1941).pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FEastern%20Front%20%281941%29.pdf,1483509,87e2bdab4c79f556d0c42c863747e3c5,,,Eastern Front (1941).pdf
docs/ATARI800/Atari XEGS Manuals/Fight Night.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FFight%20Night.pdf,213416,0060e78c247f284085295346ab2623b7,,,Fight Night.pdf
docs/ATARI800/Atari XEGS Manuals/Flight Simulator II.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FFlight%20Simulator%20II.pdf,3019467,e4adbc124fdde6192ecc1347ba25b11f,,,Flight Simulator II.pdf
docs/ATARI800/Atari XEGS Manuals/Food Fight.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FFood%20Fight.pdf,126050,d7b48e8e23994705efe1f331e74c65f3,,,Food Fight.pdf
docs/ATARI800/Atari XEGS Manuals/GATO.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FGATO.pdf,856670,36264d3cee636d557bf6b50c68d48333,,,GATO.pdf
docs/ATARI800/Atari XEGS Manuals/Hardball!.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FHardball%21.pdf,205389,e31305aa9214022ffb239cff985c42a4,,,Hardball!.pdf
docs/ATARI800/Atari XEGS Manuals/Into the Eagle_s Nest.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FInto%20the%20Eagle_s%20Nest.pdf,395523,04731a2642031c59c1be4f21a6036564,,,Into the Eagle_s Nest.pdf
docs/ATARI800/Atari XEGS Manuals/Karateka.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FKarateka.pdf,372054,592066b7c1f4392137be6adeaeebb30c,,,Karateka.pdf
docs/ATARI800/Atari XEGS Manuals/Lode Runner.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FLode%20Runner.pdf,244006,16fe46dfd4cd12bb1363693c44d54109,,,Lode Runner.pdf
docs/ATARI800/Atari XEGS Manuals/Mario Bros..pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FMario%20Bros..pdf,471342,dca56625f5585696982aac5dbba55fe0,,,Mario Bros..pdf
docs/ATARI800/Atari XEGS Manuals/Necromancer.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FNecromancer.pdf,240771,30f0e7d02f6da30853c01a56751ee4da,,,Necromancer.pdf
docs/ATARI800/Atari XEGS Manuals/One-on-One Basketball.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FOne-on-One%20Basketball.pdf,182190,9b02deadd04ee90fc449dd9d5505e05e,,,One-on-One Basketball.pdf
docs/ATARI800/Atari XEGS Manuals/Rescue on Fractalus!.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FRescue%20on%20Fractalus%21.pdf,260983,804ef92c3037229fb5dbce84d6f443f1,,,Rescue on Fractalus!.pdf
docs/ATARI800/Atari XEGS Manuals/Star Raiders II.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FStar%20Raiders%20II.pdf,221339,5d9d530ddd96c436a204b00f14afbf14,,,Star Raiders II.pdf
docs/ATARI800/Atari XEGS Manuals/Summer Games.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FSummer%20Games.pdf,1946623,902b5f776bc3d3c547d1f906a5a447ce,,,Summer Games.pdf
docs/ATARI800/Atari XEGS Manuals/Thunderfox.pdf,https://archive.org/download/mister-manuals/1987_Atari%20XEGS.zip/1987_Atari%20XEGS%2FThunderfox.pdf,566679,b6f9521fbfa7ea64de3c112659bcdfe6,,,Thunderfox.pdf
